NCM,Excecao,Descricao,Aliquota
8409.91.1,,"Bielas, blocos de cilindros, cabeçotes, cárteres, carburadores, válvulas de admissão ou de escape, coletores de admissão ou de escape, anéis de segmento e guias de válvulas",
8409.91.11,,Bielas ,"3,25"
8409.91.12,,"Blocos de cilindros, cabeçotes e cárteres ","3,25"
8409.91.13,,"Carburadores, com bomba e dispositivo de compensação de nível de combustível incorporados, ambos a membrana, de diâmetro de venturi inferior ou igual a 22,8 mm e peso inferior ou igual a 280 g ","3,25"
8409.91.14,,Válvulas de admissão ou de escape ,"3,25"
8409.91.15,,Coletores de admissão ou de escape ,"3,25"
8409.91.16,,Anéis de segmento ,"3,25"
8409.91.17,,Guias de válvulas ,"3,25"
8409.91.18,,Outros carburadores ,"3,25"
8409.91.20,,Pistões ou êmbolos ,"3,25"
8409.91.30,,Camisas de cilindro ,"3,25"
8409.91.40,,Sistema de injeção eletrônica ,"9,75"
8409.91.90,,Outras ,"3,25"
,01,"Para ciclomotores, motonetas, motocicletas, triciclos e quadriciclos",5
8409.99,,-- Outras,
8409.99.1,,"Blocos de cilindros, cárteres, válvulas de admissão ou de escape, coletores de admissão ou escape e guias de válvulas",
8409.99.12,,Blocos de cilindros e cárteres ,"3,25"
8409.99.12,01,"De motores de ônibus ou caminhões, de potência igual ou superior a 125 HP","2,6"
8409.99.14,,Válvulas de admissão ou de escape ,"3,25"
8409.99.15,,Coletores de admissão ou de escape ,"3,25"
8409.99.17,,Guias de válvulas ,"3,25"
8409.99.2,,Pistões ou êmbolos,
8409.99.21,,De diâmetro igual ou superior a 200 mm ,"3,25"
8409.99.29,,Outros ,"3,25"
8409.99.30,,Camisas de cilindro ,"3,25"
8409.99.4,,Bielas,
8409.99.41,,De peso igual ou superior a 30 kg ,"3,25"
8409.99.41,01,"De motores de ônibus ou caminhões, de potência igual ou superior a 125 HP","2,6"
8409.99.49,,Outras ,"3,25"
8409.99.49,01,"De motores de ônibus ou caminhões, de potência igual ou superior a 125 HP","2,6"
8409.99.5,,Cabeçotes,
8409.99.51,,De diâmetro igual ou superior a 200 mm ,"3,25"
8409.99.51,01,"De motores de ônibus ou caminhões, de potência igual ou superior a 125 HP","2,6"
8409.99.59,,Outros ,"3,25"
8409.99.59,01,"De motores de ônibus ou caminhões, de potência igual ou superior a 125 HP","2,6"
8409.99.6,,Bicos injetores (incluindo os porta-injetores),
8409.99.61,,De diâmetro igual ou superior a 20 mm ,"3,25"
8409.99.69,,Outros ,"3,25"
8409.99.7,,Anéis de segmento,
8409.99.71,,De diâmetro igual ou superior a 200 mm ,"3,25"
8409.99.79,,Outros ,"3,25"
8409.99.9,,Outras,
8409.99.91,,"Camisas de cilindro soldadas a cabeçotes, de diâmetro igual ou superior a 200 mm ","3,25"
8409.99.99,,Outras ,"3,25"
8409.99.99,01,"Carcaças de motores de ônibus ou caminhões, de potência igual ou superior a 125 HP","2,6"
84.1,,"Turbinas hidráulicas, rodas hidráulicas, e seus reguladores.",
8410.1,,- Turbinas e rodas hidráulicas:,
8410.11.00,,-- De potência não superior a 1.000 kW ,0
8410.12.00,,"-- De potência superior a 1.000 kW, mas não superior a 10.000 kW ",0
8410.13.00,,-- De potência superior a 10.000 kW ,0
8410.90.00,,"- Partes, incluindo os reguladores ",0
84.11,,"Turborreatores, turbopropulsores e outras turbinas a gás.",
8411.1,,- Turborreatores:,
8411.11.00,,-- De empuxo (impulso*) não superior a 25 kN ,"3,25"
8411.12.00,,-- De empuxo (impulso*) superior a 25 kN ,"3,25"
8411.2,,- Turbopropulsores:,
8411.21.00,,-- De potência não superior a 1.100 kW ,"3,25"
8411.22.00,,-- De potência superior a 1.100 kW ,"3,25"
8411.8,,- Outras turbinas a gás:,
8411.81.00,,-- De potência não superior a 5.000 kW ,0
8411.82.00,,-- De potência superior a 5.000 kW ,"3,25"
8411.9,,- Partes:,
8411.91.00,,-- De turborreatores ou de turbopropulsores ,"3,25"
8411.99.00,,-- Outras ,"3,25"
84.12,,Outros motores e máquinas motrizes.,
8412.10.00,,"- Propulsores a reação, excluindo os turborreatores ",0
8412.2,,- Motores hidráulicos:,
8412.21,,-- De movimento retilíneo (cilindros),
8412.21.10,,Cilindros hidráulicos ,0
8412.21.90,,Outros ,0
8412.29.00,,-- Outros ,0
8412.3,,- Motores pneumáticos:,
8412.31,,-- De movimento retilíneo (cilindros),
8412.31.10,,Cilindros pneumáticos ,0
8412.31.90,,Outros ,0
8412.39.00,,-- Outros ,0
8412.80.00,,- Outros ,0
8412.9,,- Partes,
8412.90.10,,De propulsores a reação ,0
8412.90.20,,De máquinas a vapor de movimento retilíneo (cilindros) ,0
8412.90.80,,"Outras, de máquinas das subposições 8412.21 ou 8412.31 ",0
8412.90.90,,Outras ,0
84.13,,"Bombas para líquidos, mesmo com dispositivo medidor; elevadores de líquidos.",
8413.1,,- Bombas com dispositivo medidor ou concebidas para comportá-lo:,
8413.11.00,,"-- Bombas para distribuição de combustíveis ou lubrificantes, do tipo utilizado em postos (estações) de serviço ou garagens ","3,25"
8413.19.00,,-- Outras ,"3,25"
8413.20.00,,"- Bombas manuais, exceto das subposições 8413.11 ou 8413.19 ","3,25"
8413.3,,"- Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha (faísca) ou por compressão",
8413.30.10,,Para gasolina ou álcool ,"3,25"
,01,"Para ciclomotores, motonetas, motocicletas, triciclos e quadriciclos",5
8413.30.20,,Injetoras de combustível para motor de ignição por compressão ,"3,25"
8413.30.20,01,"Em linha, com elementos de injeção de diâmetro igual ou superior a 9,5 mm, para motores de potência igual ou superior a 125 HP, próprios para ônibus ou caminhões","2,6"
8413.30.30,,Para óleo lubrificante ,"3,25"
8413.30.90,,Outras ,"3,25"
8413.40.00,,- Bombas para concreto (betão) ,0
8413.5,,- Outras bombas volumétricas alternativas,
8413.50.10,,"De potência superior a 3,73 kW (5 HP), mas não superior a 447,42 kW (600 HP), excluídas as para oxigênio líquido ",0
8413.50.90,,Outras ,0
8413.6,,- Outras bombas volumétricas rotativas,
8413.60.1,,De vazão inferior ou igual a 300 l/min,
8413.60.11,,De engrenagem ,0
8413.60.19,,Outras ,0
8413.60.90,,Outras ,0
8413.7,,- Outras bombas centrífugas,
8413.70.10,,Eletrobombas submersíveis ,"3,25"
8413.70.80,,"Outras, de vazão inferior ou igual a 300 l/min ","3,25"
8413.70.90,,Outras ,0
8413.8,,- Outras bombas; elevadores de líquidos:,
8413.81.00,,-- Bombas ,0
8413.82.00,,-- Elevadores de líquidos ,0
8413.9,,- Partes:,
8413.91,,-- De bombas,
8413.91.10,,"Hastes de bombeamento, do tipo utilizado para extração de petróleo ",0
8413.91.90,,Outras ,"3,25"
8413.91.90,01,"De bombas injetoras em linha, com elementos de injeção de diâmetro igual ou superior a 9,5 mm, para motores de ignição por compressão de potência igual ou superior a 125 HP, próprios para ônibus ou caminhões","2,6"
8413.92.00,,-- De elevadores de líquidos ,0
84.14,,"Bombas de ar ou de vácuo, compressores de ar ou de outros gases e ventiladores; coifas aspirantes (exaustores) para extração ou reciclagem, com ventilador incorporado, mesmo filtrantes; cabinas (câmaras) de segurança biológica estanques aos gases, mesmo filtrantes.",
8414.10.00,,- Bombas de vácuo ,0
8414.20.00,,"- Bombas de ar, de mão ou de pé ","3,25"
8414.3,,- Compressores do tipo utilizado nos equipamentos frigoríficos,
8414.30.1,,Motocompressores herméticos,
8414.30.11,,Com capacidade inferior a 4.700 frigorias/hora ,"3,25"
8414.30.19,,Outros ,0
8414.30.9,,Outros,
8414.30.91,,Com capacidade inferior ou igual a 16.000 frigorias/hora ,"3,25"
8414.30.99,,Outros ,0
8414.4,,- Compressores de ar montados sobre chassis com rodas e rebocáveis,
8414.40.10,,De deslocamento alternativo ,0
8414.40.20,,De parafuso ,0
8414.40.90,,Outros ,0
8414.5,,- Ventiladores:,
8414.51,,"-- Ventiladores de mesa, de assentar no solo, de parede, de teto ou de janela, com motor elétrico incorporado de potência não superior a 125 W",
8414.51.10,,De mesa ,"9,75"
8414.51.20,,De teto ,"9,75"
8414.51.90,,Outros ,"9,75"
8414.59,,-- Outros,
8414.59.10,,Microventiladores com área de carcaça inferior a 90 cm2 ,"3,25"
8414.59.90,,Outros ,0
8414.60.00,,- Coifas aspirantes (exaustores) com dimensão horizontal máxima não superior a 120 cm ,"6,5"
8414.60.00,01,Do tipo doméstico,"9,75"
8414.70.00,,- Cabinas (câmaras) de segurança biológica estanques aos gases ,0
8414.8,,- Outros,
8414.80.1,,Compressores de ar,
8414.80.11,,"Estacionários, de pistão ",0
8414.80.12,,De parafuso ,0
8414.80.13,,De lóbulos paralelos (tipo Roots) ,0
8414.80.19,,Outros ,0
8414.80.2,,Turbocompressores de ar,
8414.80.21,,"Turboalimentadores de ar, de peso inferior ou igual a 50 kg para motores das posições 84.07 ou 84.08, acionado pelos gases de escapamento dos mesmos ","3,25"
8414.80.22,,"Turboalimentadores de ar, de peso superior a 50 kg para motores das posições 84.07 ou 84.08, acionados pelos gases de escapamento dos mesmos ","3,25"
8414.80.29,,Outros ,0
8414.80.3,,Compressores de gases (exceto ar),
8414.80.31,,De pistão ,0
8414.80.32,,De parafuso ,0
8414.80.33,,"Centrífugos, de vazão máxima inferior a 22.000 m3/h ",0
8414.80.38,,Outros compressores centrífugos ,0
8414.80.39,,Outros ,0
8414.80.90,,Outros ,0
8414.9,,- Partes,
8414.90.10,,De bombas ,"3,25"
8414.90.20,,De ventiladores ou coifas aspirantes ,"3,25"
8414.90.3,,De compressores,
8414.90.31,,Pistões ou êmbolos ,"3,25"
8414.90.32,,Anéis de segmento ,"3,25"
8414.90.33,,"Blocos de cilindros, cabeçotes e cárteres ","3,25"
8414.90.34,,Válvulas ,"3,25"
8414.90.39,,Outras ,0
8414.90.40,,De cabinas (câmaras) de segurança ,"3,25"
84.15,,"Máquinas e aparelhos de ar-condicionado que contenham um ventilador motorizado e dispositivos próprios para modificar a temperatura e a umidade, incluindo as máquinas e aparelhos em que a umidade não seja regulável separadamente.",
8415.1,,"- Do tipo concebido para ser fixado numa janela, parede, teto ou piso (pavimento), formando um corpo único ou do tipo split-system (sistema com elementos separados)",
8415.10.1,,Com capacidade inferior ou igual a 30.000 frigorias/hora,
8415.10.11,,Do tipo split-system (sistema com elementos separados) ,20
8415.10.11,01,Com capacidade inferior a 7.500 frigorias/hora,35
8415.10.19,,Outros ,20
8415.10.90,,Outros ,20
8415.2,,- Do tipo utilizado para o conforto dos passageiros nos veículos automóveis,
8415.20.10,,Com capacidade inferior ou igual a 30.000 frigorias/hora ,13
8415.20.90,,Outros ,13
8415.8,,- Outros:,
8415.81,,-- Com dispositivo de refrigeração e válvula de inversão do ciclo térmico (bombas de calor reversíveis),
8415.81.10,,Com capacidade inferior ou igual a 30.000 frigorias/hora ,13
8415.81.90,,Outros ,0
8415.82,,"-- Outros, com dispositivo de refrigeração",
8415.82.10,,Com capacidade inferior ou igual a 30.000 frigorias/hora ,13
8415.82.90,,Outros ,0
8415.83.00,,-- Sem dispositivo de refrigeração ,13
8415.9,,- Partes,
8415.90.10,,Unidades evaporadoras (internas) de aparelho de ar-condicionado do tipo split-system (sistema com ,20
8415.90.10,01,Com capacidade inferior a 7.500 frigorias/hora,35
8415.90.20,,"Unidades condensadoras (externas) de aparelho de ar-condicionado do tipo split-system (sistema com elementos separados), com capacidade inferior ou igual a 30.000 frigorias/hora ",20
8415.90.20,01,Com capacidade inferior a 7.500 frigorias/hora,35
8415.90.90,,Outras ,20
84.16,,"Queimadores para alimentação de fornalhas de combustíveis líquidos, combustíveis sólidos pulverizados ou de gás; fornalhas automáticas, incluindo as antefornalhas, grelhas mecânicas, descarregadores mecânicos de cinzas e dispositivos semelhantes.",
8416.10.00,,- Queimadores de combustíveis líquidos ,0
8416.2,,"- Outros queimadores, incluindo os mistos",
8416.20.10,,De gases ,0
8416.20.90,,Outros ,0
8416.30.00,,"- Fornalhas automáticas, incluindo as antefornalhas, grelhas mecânicas, descarregadores mecânicos de cinzas e dispositivos semelhantes ",0
8416.90.00,,- Partes ,"3,25"
84.17,,"Fornos industriais ou de laboratório, incluindo os incineradores, não elétricos.",
8417.1,,"- Fornos para ustulação, fusão ou outros tratamentos térmicos de minérios ou de metais",
8417.10.10,,Fornos industriais para fusão de metais ,0
8417.10.20,,Fornos industriais para tratamento térmico de metais ,0
8417.10.90,,Outros ,0
8417.20.00,,"- Fornos de padaria, pastelaria ou para a indústria de bolachas e biscoitos ",0
8417.8,,- Outros,
8417.80.10,,Fornos industriais para cerâmica ,0
8417.80.20,,Fornos industriais para fusão de vidro ,0
8417.80.90,,Outros ,0
8417.90.00,,- Partes ,0
84.18,,"Refrigeradores, congeladores (freezers) e outros materiais, máquinas e aparelhos, para a produção de frio, com equipamento elétrico ou outro; bombas de calor, exceto as máquinas e aparelhos de ar condicionado da posição 84.15.",
8418.10.00,,"- Combinações de refrigeradores e congeladores (freezers), munidos de portas ou gavetas exteriores
separadas, ou de uma combinação desses elementos ","9,75"
8418.2,,- Refrigeradores do tipo doméstico:,
8418.21.00,,-- De compressão ,"9,75"
8418.29.00,,-- Outros ,"9,75"
8418.30.00,,"- Congeladores (freezers) horizontais (arcas), de capacidade não superior a 800 l ","9,75"
8418.30.00,01,De capacidade não superior a 400 litros,"9,75"
8418.40.00,,"- Congeladores (freezers) verticais, de capacidade não superior a 900 l ","9,75"
8418.40.00,01,De capacidade não superior a 400 litros,"9,75"
8418.5,,"- Outros móveis (arcas, armários, vitrines, balcões e móveis semelhantes) para a conservação e exposição de produtos, que incorporem um equipamento para a produção de frio",
8418.50.10,,Congeladores (freezers) ,0
8418.50.90,,Outros ,0
8418.6,,"- Outros materiais, máquinas e aparelhos, para a produção de frio; bombas de calor:",
8418.61.00,,"-- Bombas de calor, exceto as máquinas e aparelhos de ar-condicionado da posição 84.15 ",0
8418.69,,-- Outros,
8418.69.10,,Máquinas não domésticas para preparação de sorvetes ,0
8418.69.20,,Resfriadores de leite ,0
8418.69.3,,"Unidades fornecedoras de água, sucos ou bebidas carbonatadas",
8418.69.31,,De água ou sucos ,"9,75"
8418.69.31,01,Bebedouros refrigerados,"6,5"
8418.69.32,,De bebidas carbonatadas ,0
8418.69.40,,Grupos frigoríficos de compressão com capacidade inferior ou igual a 30.000 frigorias/hora ,0
8418.69.40,01,Para ar-condicionado,13
8418.69.9,,Outros,
8418.69.91,,"Resfriadores de água, de absorção por brometo de lítio ","3,25"
8418.69.99,,Outros ,"9,75"
8418.69.99,01,Máquinas para produção de gelo em embarcações pesqueiras,0
8418.69.99,02,"Grupos de compressão, exceto para ar-condicionado, ou de absorção","3,25"
8418.69.99,03,Máquinas para produção de gelo em cubos ou escamas,"3,25"
8418.69.99,04,"Instalações frigoríficas industriais, formadas por elementos não reunidos em corpo único
nem montados sobre base comum, com câmara frigorífica de capacidade superior a 30 m³",0
8418.69.99,05,"Próprios para conservação de sangue humano, funcionando com temperatura estável entre
2°C e 6°C",0
8418.9,,- Partes:,
8418.91.00,,-- Móveis concebidos para receber um equipamento para a produção de frio ,"9,75"
8418.99.00,,-- Outras ,"9,75"
8418.99.00,01,Condensador frigorífico e evaporador frigorífico,"3,25"
84.19,,"Aparelhos, dispositivos ou equipamentos de laboratório, mesmo aquecidos eletricamente (exceto os fornos e outros aparelhos da posição 85.14), para tratamento de matérias por meio de operações que impliquem mudança de temperatura, tais como aquecimento, cozimento, torrefação, destilação, retificação, esterilização, pasteurização, estufagem, secagem, evaporação, vaporização, condensação ou arrefecimento, exceto os de uso doméstico; aquecedores de água não elétricos, de aquecimento instantâneo ou de acumulação.",
8419.1,,"- Aquecedores de água não elétricos, de aquecimento instantâneo ou de acumulação:",
8419.11.00,,"-- De aquecimento instantâneo, a gás ","3,25"
8419.11.00,01,Para uso doméstico,"6,5"
8419.12.00,,-- Aquecedores de água solares ,0
8419.19.00,,-- Outros ,"3,25"
8419.20.00,,- Esterilizadores médico-cirúrgicos ou de laboratório ,"3,25"
8419.3,,- Secadores:,
8419.33.00,,"-- Aparelhos de liofilização, aparelhos de criodessecação e secadores por pulverização ",0
8419.34.00,,"-- Outros, para produtos agrícolas ",0
8419.35.00,,"-- Outros, para madeiras, pastas de papel, papel ou cartão ",0
8419.39.00,,-- Outros ,0
8419.4,,- Aparelhos de destilação ou de retificação,
8419.40.10,,De destilação de água ,0
8419.40.20,,De destilação ou retificação de álcoois e outros fluidos voláteis ou de hidrocarbonetos ,0
8419.40.90,,Outros ,0
8419.5,,- Trocadores (permutadores) de calor,
8419.50.10,,De placas ,0
8419.50.2,,Tubulares,
8419.50.21,,Metálicos ,0
8419.50.22,,De grafita ,0
8419.50.29,,Outros ,0
8419.50.90,,Outros ,0
8419.60.00,,- Aparelhos e dispositivos para liquefação do ar ou de outros gases ,0
8419.8,,- Outros aparelhos e dispositivos:,
8419.81,,-- Para preparação de bebidas quentes ou para cozimento ou aquecimento de alimentos,
8419.81.10,,Autoclaves ,0
8419.81.90,,Outros ,0
8419.89,,-- Outros,
8419.89.1,,Esterilizadores,
8419.89.11,,"De alimentos, mediante Ultra Alta Temperatura (UHT - Ultra High Temperature) por injeção direta de vapor, com capacidade igual ou superior a 6.500 l/h ",0
8419.89.19,,Outros ,0
8419.89.19,01,"Dos tipos utilizados em bares, restaurantes, cantinas e semelhantes","5,2"
8419.89.20,,Estufas ,0
8419.89.30,,Torrefadores ,0
8419.89.40,,Evaporadores ,0
8419.89.9,,Outros,
8419.89.91,,"Recipiente refrigerador, com dispositivo de circulação de fluido refrigerante ","5,2"
8419.89.99,,Outros ,"3,25"
8419.89.99,01,Torres de resfriamento de água,0
8419.9,,- Partes,
8419.90.10,,De aquecedores de água das subposições 8419.11 ou 8419.19 ,"3,25"
8419.90.20,,De colunas de destilação ou de retificação ,"3,25"
8419.90.3,,"De trocadores de calor, de placas",
8419.90.31,,"Placa corrugada, de aço inoxidável ou de alumínio, com superfície de troca térmica de área superior a 0,4 m2 ","3,25"
8419.90.39,,Outras ,0
8419.90.40,,De aparelhos ou dispositivos das subposições 8419.81 ou 8419.89 ,"3,25"
8419.90.90,,Outras ,"3,25"
84.2,,"Calandras e laminadores, exceto os destinados ao tratamento de metais ou vidro, e seus cilindros.",
8420.1,,- Calandras e laminadores,
8420.10.10,,Para papel ou cartão ,0
8420.10.90,,Outros ,0
8420.9,,- Partes:,
8420.91.00,,-- Cilindros ,"3,25"
8420.99.00,,-- Outras ,"3,25"
84.21,,"Centrifugadores, incluindo os secadores centrífugos; aparelhos para filtrar ou depurar líquidos ou gases.",
8421.1,,"- Centrifugadores, incluindo os secadores centrífugos:",
8421.11,,-- Desnatadeiras,
8421.11.10,,Com capacidade de processamento de leite igual ou superior a 30.000 l/h ,0
8421.11.90,,Outras ,0
8421.12,,-- Secadores de roupa,
8421.12.10,,Com tambor de capacidade inferior ou igual a 23 l ,13
8421.12.90,,Outros ,13
8421.19,,-- Outros,
8421.19.10,,"Centrifugadores para laboratórios de análises, ensaios ou pesquisas científicas ",0
8421.19.90,,Outros ,0
8421.19.90,01,Centrifugadores para uso doméstico,"15,6"
8421.2,,- Aparelhos para filtrar ou depurar líquidos:,
8421.21.00,,-- Para filtrar ou depurar água ,0
8421.22.00,,"-- Para filtrar ou depurar bebidas, exceto água ",0
8421.23.00,,"-- Para filtrar carburantes ou óleos lubrificantes nos motores de ignição por centelha (faísca) ou por
compressão ","5,2"
8421.23.00,01,"Filtro de óleo lubrificante, não descartável, equipado com elemento filtrante de papel
(substituível), para uso em motores de ignição por compressão, de potência igual ou superior a 125 HP,
próprios para ônibus ou caminhões","2,6"
8421.23.00,02,"Filtro de óleo lubrificante, não descartável, equipado com elemento filtrante de papel (substituível), para uso em motores de ignição por compressão, com até 2.600 rpm em potência máxima, próprios para colheitadeiras ou tratores agrícolas","2,6"
8421.29,,-- Outros,
8421.29.1,,Do tipo utilizado em hemodiálise,
8421.29.11,,Capilares ,0
8421.29.19,,Outros ,0
8421.29.20,,Aparelho de osmose inversa ,0
8421.29.30,,Filtros-prensa ,0
8421.29.90,,Outros ,0
8421.3,,- Aparelhos para filtrar ou depurar gases:,
8421.31.00,,-- Filtros de entrada de ar para motores de ignição por centelha (faísca) ou por compressão ,"5,2"
8421.32.00,,"-- Conversores catalíticos e filtros de partículas, mesmo combinados, para depurar ou filtrar os gases de escape dos motores de ignição por centelha (faísca) ou por compressão ","3,25"
8421.32.00,01,"Conversores catalíticos, exceto para veículos",0
8421.32.00,02,Filtros de partículas,0
8421.39,,-- Outros,
8421.39.10,,Filtros eletrostáticos ,0
8421.39.30,,"Concentradores de oxigênio por depuração do ar, com capacidade de saída inferior ou igual a 6 l/min ",0
8421.39.90,,Outros ,0
8421.9,,- Partes:,
8421.91,,"-- De centrifugadores, incluindo as dos secadores centrífugos",
8421.91.10,,De secadores de roupa do item 8421.12.10 ,"5,2"
8421.91.9,,Outras,
8421.91.91,,"Tambores rotativos com pratos ou discos separadores, de peso superior a 300 kg ","5,2"
8421.91.99,,Outras ,"5,2"
8421.99,,-- Outras,
8421.99.10,,"De aparelhos para filtrar ou depurar gases, da subposição 8421.39 ","5,2"
8421.99.20,,Do tipo utilizado em linhas de sangue para hemodiálise ,"5,2"
8421.99.9,,Outras,
8421.99.91,,Cartuchos de membrana de aparelhos de osmose inversa ,"5,2"
8421.99.99,,Outras ,"5,2"
84.22,,"Máquinas de lavar louça; máquinas e aparelhos para limpar ou secar garrafas ou outros recipientes; máquinas e aparelhos para encher, fechar, arrolhar ou rotular garrafas, caixas, latas, sacos ou outros recipientes; máquinas e aparelhos para capsular garrafas, vasos, tubos e recipientes semelhantes; outras máquinas e aparelhos para empacotar ou embalar mercadorias (incluindo as máquinas e aparelhos para embalar com película termorretrátil); máquinas e aparelhos para gaseificar bebidas.",
8422.1,,- Máquinas de lavar louça:,
8422.11.00,,-- Do tipo doméstico ,20
8422.19.00,,-- Outras ,13
8422.19.00,01,Com capacidade de lavagem superior a 1000 pratos por hora,0
8422.20.00,,- Máquinas e aparelhos para limpar ou secar garrafas ou outros recipientes ,0
8422.3,,"- Máquinas e aparelhos para encher, fechar, arrolhar ou rotular garrafas, caixas, latas, sacos ou outros recipientes; máquinas e aparelhos para capsular garrafas, vasos, tubos e recipientes semelhantes; máquinas e aparelhos para gaseificar bebidas",
8422.30.10,,"Máquinas e aparelhos para encher, fechar, arrolhar, capsular ou rotular garrafas ",0
